"Date_exported","Period","Organisation unit","Number of fixed sessions planned","Daily fixed sessions conducted","Number of outreach sessions planned","FS_SS visits conducted by the LGA team ","OS_SS visits conducted by the LGA team ","Daily Fixed Sessions Reporting rate","Daily Outreach Sessions Reporting rate","Daily outreach sessions conducted","FS_Number of children given BCG","FS_Number vaccinated _Penta 1","FS_Number vaccinated _Penta2","FS_Number vaccinated _Penta3","FS_Number of children given IPV","FS_Number vaccinated _Measles","FS_BCG doses opened for session","FS_Doses opened  for  session_Measles","FS_Doses opened for session_Penta","FS_IPV doses opened for session","OS_Number of children given BCG","OS_Number vaccinated_Penta1","OS_Number vaccinated_Penta2","OS_Number vaccinated_Penta3","OS_Number of children given IPV","OS_Number vaccinated_Measles","OS_BCG doses opened for session","OS_Doses opened for session_Penta","OS_IPV doses opened for session","OS_Doses opened for session_Measles","Total BCG doses opened for fixed and outreach sessions","Total Number of children given BCG in fixed and outreach sessions","Total Measles doses utilized in fixed and outreach sessions","Total Number of children vaccinated with Measles in fixed and outreach sessions","Total Penta doses utilized in fixed and outreach sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in outreach sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in fixed sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in fixed and outreach sessions","Total IPV doses utilized in fixed and outreach sessions","Total Number of children vaccinated with IPV in fixed and outreach sessions"
"2018-12-06 09:41:45","2018W48","Adamawa","303.0",194,206,73,30,3.41729786859257,1.87156593406593,109,977,815,687,718,812,642,2174,1318,2608,1356,330,375,317,353,358,339,837,1112,655,633,3011,1307,1951,981,3720,1045,2220,3265,2011,1170
"2018-12-06 09:41:45","2018W48","Bauchi","567.0",445,411,150,102,5.63077312413008,3.00688322666345,249,1654,1584,1411,1456,1467,1156,4874,2374,4892,2305,326,587,607,620,611,528,1632,2016,1155,1053,6506,1980,3427,1684,6908,1814,4451,6265,3460,2078
"2018-12-06 09:41:45","2018W48","Bayelsa","152.0",122,138,42,55,5.88803088803089,3.92514833409402,86,286,397,353,347,382,306,1505,772,1474,903,169,197,211,172,173,178,1103,864,602,533,2608,455,1305,484,2338,580,1097,1677,1505,555
"2018-12-06 09:41:45","2018W48","Borno","435.0",331,289,145,86,6.33856759862122,3.01215430685221,171,1858,1836,1521,1514,1487,1191,4702,2312,5501,2607,487,891,821,843,847,762,1894,2954,1805,1325,6596,2345,3637,1953,8455,2555,4871,7426,4412,2334
"2018-12-06 09:41:45","2018W48","Gombe","166.0",140,100,31,9,3.24675324675325,1.27758420441347,55,676,681,564,575,626,451,1285,834,1901,999,49,109,107,129,122,108,205,440,395,198,1490,725,1032,559,2341,345,1820,2165,1394,748
"2018-12-06 09:41:45","2018W48","Jigawa","448.0",348,277,177,46,6.81951793062904,2.08006279434851,106,1743,1712,1492,1605,1639,1252,4659,2431,5617,3095,191,285,240,309,308,269,704,1123,792,650,5363,1934,3081,1521,6740,834,4809,5643,3887,1947
"2018-12-06 09:41:45","2018W48","Kaduna","763.0",651,594,319,150,6.2124248496994,4.03934300993124,423,3765,3212,2683,2681,2735,2485,8719,4175,9480,4737,652,1110,969,1229,1218,1114,2197,3606,2138,2137,10916,4417,6312,3599,13086,3308,8576,11884,6875,3953
"2018-12-06 09:41:45","2018W48","Kano","925.0",831,660,433,190,8.71617369414726,5.227248871628,498,4709,4478,3983,4217,4233,3161,12617,6081,13533,5917,860,1115,1152,1313,1335,920,4326,3925,1891,2333,16943,5569,8414,4081,17458,3580,12678,16258,7808,5568
"2018-12-06 09:41:45","2018W48","Katsina","708.0",563,441,312,115,5.02364593557598,2.125,238,1618,2415,2000,1985,1962,1847,4993,3978,7788,4242,218,628,503,494,490,703,1143,2195,1308,1403,6136,1836,5381,2550,9983,1625,6400,8025,5550,2452
"2018-12-06 09:41:45","2018W48","Kebbi","303.0",215,327,102,78,3.9580265095729,2.78341013824885,151,860,777,725,829,884,725,2519,1348,2639,1618,483,664,641,509,561,432,1398,1835,872,803,3917,1343,2151,1157,4474,1814,2331,4145,2490,1445
"2018-12-06 09:41:45","2018W48","Kogi","153.0",117,145,140,53,1.55337227827934,1.2624584717608,95,720,687,611,631,623,601,1510,833,1946,984,266,503,366,408,446,437,798,1397,894,722,2308,986,1555,1038,3343,1277,1929,3206,1878,1069
"2018-12-06 09:41:45","2018W48","Nasarawa","389.0",349,259,46,49,5.11880316808448,2.68407157524201,183,895,979,678,708,700,780,2714,1377,2805,1502,148,211,184,228,231,151,626,692,545,310,3340,1043,1687,931,3497,623,2365,2988,2047,931
"2018-12-06 09:41:45","2018W48","Niger","157.0",127,87,44,17,1.13110081938012,0.52579983958649,59,1129,889,710,642,644,572,1811,993,2410,999,231,255,237,246,273,215,500,783,329,340,2311,1360,1333,787,3193,738,2241,2979,1328,917
"2018-12-06 09:41:45","2018W48","Plateau","391.0",242,179,75,31,2.85950608531254,1.0406811731315,88,940,918,862,717,809,676,2783,1370,3074,1551,137,179,137,161,205,145,622,600,430,342,3405,1077,1712,821,3674,477,2497,2974,1981,1014
"2018-12-06 09:41:45","2018W48","Sokoto","428.0",241,390,117,59,4.48873160737568,3.35695635956733,180,752,781,726,690,738,651,3223,1623,2772,1659,362,500,484,490,535,442,2006,1801,1156,1128,5229,1114,2751,1093,4573,1474,2197,3671,2815,1273
"2018-12-06 09:41:45","2018W48","Taraba","357.0",272,295,139,83,3.78724589250905,2.1184668989547,152,1043,870,670,615,605,733,2465,1295,2563,1398,238,355,335,353,322,324,759,1027,589,578,3224,1281,1873,1057,3590,1043,2155,3198,1987,927
"2018-12-06 09:41:45","2018W48","Yobe","253.0",194,347,130,143,4.81150793650794,4.32298136645963,174,645,954,850,845,872,719,2085,1499,2813,1677,161,442,408,441,440,373,1069,1605,962,906,3154,806,2405,1092,4418,1291,2649,3940,2639,1312
"2018-12-06 09:41:45","2018W48","Zamfara","448.0",292,422,131,79,5.72998430141287,4.7160542346237,240,832,1092,987,998,1055,994,3765,2105,3516,2290,472,724,657,654,645,534,2529,2557,1731,1546,6294,1304,3651,1528,6073,2035,3077,5112,4021,1700
